smash_variant,response,responder_won_rally
wrist smash,return net,False
wrist smash,return net,False
smash,return net,True
wrist smash,return net,False
smash,return net,True
wrist smash,defensive return drive,True
wrist smash,return net,True
smash,return net,False
wrist smash,return net,True
wrist smash,defensive return lob,True
wrist smash,return net,True
wrist smash,return net,False
wrist smash,return net,True
smash,return net,True
wrist smash,return net,False
wrist smash,return net,False
wrist smash,return net,False
smash,return net,False
wrist smash,defensive return drive,True
wrist smash,drive,True
wrist smash,cross-court net shot,True
smash,return net,False
wrist smash,cross-court net shot,True
smash,drive,True
smash,lob,False
smash,return net,True
smash,cross-court net shot,False
smash,return net,True
smash,return net,True
smash,defensive return lob,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,True
smash,cross-court net shot,False
smash,return net,False
smash,return net,False
smash,return net,True
smash,drop,False
smash,defensive return drive,False
smash,cross-court net shot,False
smash,defensive return lob,False
smash,defensive return lob,True
wrist smash,cross-court net shot,True
smash,return net,False
smash,cross-court net shot,True
smash,return net,True
smash,return net,False
smash,defensive return lob,False
smash,return net,False
smash,cross-court net shot,False
smash,defensive return drive,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
wrist smash,cross-court net shot,False
smash,return net,False
smash,cross-court net shot,False
smash,cross-court net shot,False
smash,return net,True
smash,net shot,True
wrist smash,cross-court net shot,True
smash,defensive return drive,False
smash,defensive return drive,True
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,False
smash,cross-court net shot,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,True
smash,cross-court net shot,False
smash,cross-court net shot,False
smash,return net,True
smash,return net,True
smash,defensive return lob,False
smash,return net,True
smash,return net,True
smash,return net,True
smash,cross-court net shot,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,False
wrist smash,return net,False
wrist smash,return net,False
smash,return net,False
smash,return net,False
smash,defensive return drive,True
smash,return net,False
smash,return net,False
smash,return net,True
wrist smash,return net,True
smash,return net,False
wrist smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,False
smash,net shot,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,True
smash,return net,True
smash,return net,False
wrist smash,defensive return drive,True
smash,return net,False
wrist smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,False
wrist smash,defensive return lob,False
smash,return net,True
wrist smash,return net,False
smash,return net,True
smash,return net,False
smash,net shot,True
smash,defensive return drive,True
smash,return net,True
wrist smash,return net,True
smash,return net,False
smash,defensive return lob,False
wrist smash,return net,False
smash,return net,False
smash,return net,True
wrist smash,defensive return drive,False
smash,defensive return drive,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
wrist smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
wrist smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
smash,defensive return drive,True
wrist smash,return net,False
smash,return net,True
wrist smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,True
wrist smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,True
smash,cross-court net shot,True
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,False
smash,defensive return lob,False
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,cross-court net shot,True
smash,return net,False
smash,return net,True
smash,return net,False
smash,wrist smash,True
wrist smash,net shot,False
smash,cross-court net shot,True
smash,cross-court net shot,True
smash,return net,False
smash,return net,True
wrist smash,return net,False
smash,return net,True
smash,cross-court net shot,False
smash,return net,True
smash,defensive return drive,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,cross-court net shot,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,cross-court net shot,False
smash,cross-court net shot,True
smash,defensive return drive,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,True
smash,cross-court net shot,False
wrist smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,cross-court net shot,False
smash,return net,False
smash,return net,True
smash,cross-court net shot,False
smash,return net,False
smash,return net,False
smash,cross-court net shot,True
smash,cross-court net shot,False
smash,return net,False
smash,return net,False
wrist smash,cross-court net shot,True
wrist smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,False
wrist smash,return net,False
wrist smash,cross-court net shot,True
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,True
smash,return net,True
smash,return net,False
smash,return net,True
smash,cross-court net shot,False
wrist smash,return net,False
smash,return net,False
smash,return net,False
smash,return net,True
smash,return net,False
smash,return net,False
wrist smash,return net,True
wrist smash,cross-court net shot,True
smash,defensive return drive,False
smash,return net,True
smash,return net,False
smash,return net,False
wrist smash,return net,True
wrist smash,return net,True
wrist smash,return net,True
wrist smash,return net,True
wrist smash,return net,False
wrist smash,defensive return lob,True
wrist smash,return net,True
wrist smash,defensive return lob,True
wrist smash,return net,True
wrist smash,return net,True
wrist smash,return net,False
wrist smash,defensive return lob,True
wrist smash,return net,True
wrist smash,return net,False
wrist smash,return net,False
wrist smash,push,False
wrist smash,return net,True
wrist smash,cross-court net shot,False
wrist smash,return net,True
wrist smash,return net,False
wrist smash,return net,False
wrist smash,return net,True
wrist smash,return net,False
wrist smash,return net,False
wrist smash,cross-court net shot,True
wrist smash,defensive return lob,True
